Location,Date,Temperature,Weather Description,Humidity,Wind Speed,Date_Only
Cumbria,2025-03-20 15:00:00,12.19,broken clouds,55,3.12,2025-03-20
Cumbria,2025-03-20 18:00:00,9.59,overcast clouds,71,2.37,2025-03-20
Cumbria,2025-03-20 21:00:00,5.76,broken clouds,83,1.83,2025-03-20
Cumbria,2025-03-21 00:00:00,5.45,broken clouds,91,2.06,2025-03-21
Cumbria,2025-03-21 03:00:00,5.18,overcast clouds,92,2.39,2025-03-21
Cumbria,2025-03-21 06:00:00,5.8,overcast clouds,91,3.03,2025-03-21
Cumbria,2025-03-21 09:00:00,10.9,overcast clouds,76,4.09,2025-03-21
Cumbria,2025-03-21 12:00:00,12.25,overcast clouds,70,6.46,2025-03-21
Cumbria,2025-03-21 15:00:00,12.15,overcast clouds,76,6.16,2025-03-21
Cumbria,2025-03-21 18:00:00,8.4,overcast clouds,85,2.96,2025-03-21
Cumbria,2025-03-21 21:00:00,6.79,overcast clouds,92,1.99,2025-03-21
Cumbria,2025-03-22 00:00:00,6.37,light rain,95,1.63,2025-03-22
Cumbria,2025-03-22 03:00:00,7.4,moderate rain,98,2.81,2025-03-22
Cumbria,2025-03-22 06:00:00,7.68,light rain,98,1.1,2025-03-22
Cumbria,2025-03-22 09:00:00,8.18,moderate rain,98,1.34,2025-03-22
Cumbria,2025-03-22 12:00:00,10.7,light rain,84,3.77,2025-03-22
Cumbria,2025-03-22 15:00:00,10.41,light rain,84,3.5,2025-03-22
Cumbria,2025-03-22 18:00:00,8.83,overcast clouds,86,1.15,2025-03-22
Cumbria,2025-03-22 21:00:00,8.62,overcast clouds,88,1.22,2025-03-22
Cumbria,2025-03-23 00:00:00,7.95,light rain,95,1.31,2025-03-23
Cumbria,2025-03-23 03:00:00,7.54,light rain,98,2.03,2025-03-23
Cumbria,2025-03-23 06:00:00,6.97,light rain,99,1.62,2025-03-23
Cumbria,2025-03-23 09:00:00,6.73,light rain,97,2.37,2025-03-23
Cumbria,2025-03-23 12:00:00,6.21,overcast clouds,96,2.78,2025-03-23
Cumbria,2025-03-23 15:00:00,5.92,overcast clouds,96,2.72,2025-03-23
